City/Town,Ward,Pct,"Ryan C. Fattman","Anthony Jm Allard","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Blackstone,-,1,"1,034",463,0,77,"1,574"
Blackstone,-,2,"1,166",462,0,78,"1,706"
Blackstone,-,3,"1,279",499,1,95,"1,874"
Brimfield,-,1,"1,342",895,5,121,"2,363"
Charlton,-,1,"1,186",682,0,116,"1,984"
Charlton,-,2,"1,462",570,0,107,"2,139"
Charlton,-,3,"1,312",688,1,105,"2,106"
Charlton,-,4,"1,270",631,3,108,"2,012"
Charlton,-,4A,40,15,0,0,55
Douglas,-,1,"1,371",474,0,82,"1,927"
Douglas,-,2,"1,479",483,0,72,"2,034"
Douglas,-,3,"1,371",465,0,76,"1,912"
Dudley,-,1,"1,217",564,1,76,"1,858"
Dudley,-,2,971,426,1,77,"1,475"
Dudley,-,3,890,376,1,61,"1,328"
Dudley,-,4,"1,181",495,0,68,"1,744"
Holland,-,1,948,563,0,78,"1,589"
Hopedale,-,1,"2,079","1,334",2,201,"3,616"
Mendon,-,1,"1,166",642,0,108,"1,916"
Mendon,-,2,"1,275",689,1,127,"2,092"
Millville,-,1,"1,235",500,72,1,"1,808"
Monson,-,A,870,733,0,116,"1,719"
Monson,-,B,862,685,1,103,"1,651"
Monson,-,C,865,767,0,101,"1,733"
Northbridge,-,1,"1,252",694,3,72,"2,021"
Northbridge,-,2,"1,079",520,3,80,"1,682"
Northbridge,-,3,"1,030",451,0,68,"1,549"
Northbridge,-,4,"1,409",579,0,113,"2,101"
Northbridge,-,5,"1,308",536,6,73,"1,923"
Oxford,-,1,"1,351",573,0,76,"2,000"
Oxford,-,2,"1,145",605,0,81,"1,831"
Oxford,-,3,"1,250",580,1,95,"1,926"
Oxford,-,4,"1,193",533,1,94,"1,821"
Oxford,-,4A,25,5,0,2,32
Southbridge,-,1,704,598,5,117,"1,424"
Southbridge,-,2,572,465,2,75,"1,114"
Southbridge,-,3,859,547,5,96,"1,507"
Southbridge,-,4,"1,092",783,6,128,"2,009"
Southbridge,-,5,446,494,5,75,"1,020"
Sturbridge,-,1,"1,133",815,2,87,"2,037"
Sturbridge,-,2,"1,150",823,1,110,"2,084"
Sturbridge,-,3,"1,085",750,3,87,"1,925"
Sutton,-,1,"1,503",578,0,68,"2,149"
Sutton,-,2,"1,522",514,2,75,"2,113"
Sutton,-,3,"1,453",574,1,77,"2,105"
Upton,-,1,984,760,1,125,"1,870"
Upton,-,2,"1,093",703,6,119,"1,921"
Upton,-,3,951,643,0,94,"1,688"
Uxbridge,-,1,"1,553",664,0,71,"2,288"
Uxbridge,-,1A,65,55,0,4,124
Uxbridge,-,2,"1,234",630,1,96,"1,961"
Uxbridge,-,3,"1,522",682,2,94,"2,300"
Uxbridge,-,4,"1,512",746,2,105,"2,365"
Wales,-,1,718,375,0,49,"1,142"
Webster,-,1,581,319,4,32,936
Webster,-,1A,307,162,0,18,487
Webster,-,2,611,415,2,41,"1,069"
Webster,-,3,"1,001",465,0,49,"1,515"
Webster,-,4,"1,702",621,0,72,"2,395"
Webster,-,5,"1,172",553,0,86,"1,811"
TOTALS,,,"65,438","33,911",153,"4,958","104,460"
