City/Town,Ward,Pct,"Richard E. Neal","Nadia Donya Milleron","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Adams,-,1,470,242,1,52,765
Adams,-,2,570,313,2,39,924
Adams,-,3,548,313,0,54,915
Adams,-,4,491,254,0,57,802
Adams,-,5,626,311,0,52,989
Agawam,-,1,877,761,7,101,"1,746"
Agawam,-,2,"1,059",970,10,151,"2,190"
Agawam,-,3,956,834,4,125,"1,919"
Agawam,-,4,857,678,9,110,"1,654"
Agawam,-,5,"1,151",872,7,149,"2,179"
Agawam,-,6,987,848,3,134,"1,972"
Agawam,-,7,"1,031",942,7,159,"2,139"
Agawam,-,8,"1,034",856,5,138,"2,033"
Alford,-,1,180,122,0,24,326
Becket,-,1,692,474,4,77,"1,247"
Belchertown,-,A,"1,436",783,3,177,"2,399"
Belchertown,-,B,"1,401","1,000",3,207,"2,611"
Belchertown,-,C,"1,398",871,0,180,"2,449"
Belchertown,-,D,"1,346",676,3,147,"2,172"
Blandford,-,1,327,445,4,44,820
Brimfield,-,1,"1,131","1,071",75,86,"2,363"
Brookfield,-,1,"1,122",783,11,191,"2,107"
Charlemont,-,1,448,247,0,49,744
Charlton,-,1,"1,074",700,5,205,"1,984"
Charlton,-,2,"1,079",825,7,228,"2,139"
Charlton,-,3,"1,106",760,5,235,"2,106"
Charlton,-,4,979,809,9,215,"2,012"
Charlton,-,4A,28,23,0,4,55
Cheshire,-,1,"1,052",717,4,181,"1,954"
Chester,-,1,299,408,0,44,751
Chicopee,1,A,841,542,6,72,"1,461"
Chicopee,1,B,979,627,4,81,"1,691"
Chicopee,2,A,618,275,7,50,950
Chicopee,2,B,850,573,5,87,"1,515"
Chicopee,3,A,582,477,7,63,"1,129"
Chicopee,3,A1,150,66,0,25,241
Chicopee,3,B,657,380,10,57,"1,104"
Chicopee,4,A,722,451,4,71,"1,248"
Chicopee,4,B,743,389,1,63,"1,196"
Chicopee,5,A,903,460,8,61,"1,432"
Chicopee,5,B,782,468,9,49,"1,308"
Chicopee,6,AN,320,189,3,27,539
Chicopee,6,AS,541,357,2,54,954
Chicopee,6,BE,765,631,13,82,"1,491"
Chicopee,6,BW,161,126,5,11,303
Chicopee,7,A,622,361,5,57,"1,045"
Chicopee,7,B,713,351,9,46,"1,119"
Chicopee,8,A,840,555,9,54,"1,458"
Chicopee,8,B,755,565,13,78,"1,411"
Chicopee,9,A,829,509,9,64,"1,411"
Chicopee,9,B,934,651,9,69,"1,663"
Clarksburg,-,1,606,296,0,78,980
Cummington,-,1,335,222,1,29,587
Dalton,-,1,"1,125",579,9,147,"1,860"
Dalton,-,2,"1,142",513,6,163,"1,824"
Dudley,-,1,"1,042",635,3,178,"1,858"
Dudley,-,2,753,578,5,139,"1,475"
Dudley,-,3,681,504,0,143,"1,328"
Dudley,-,4,947,633,2,162,"1,744"
"E. Brookfield",-,1,753,496,0,114,"1,363"
"E. Longmeadow",-,1,"1,151",650,10,73,"1,884"
"E. Longmeadow",-,2,"1,079",679,15,118,"1,891"
"E. Longmeadow",-,2A,11,2,0,1,14
"E. Longmeadow",-,3,"1,132",674,7,104,"1,917"
"E. Longmeadow",-,3A,57,38,3,7,105
"E. Longmeadow",-,4,936,690,13,115,"1,754"
"E. Longmeadow",-,4A,225,139,1,28,393
"E. Longmeadow",-,5,"1,061",731,7,129,"1,928"
Easthampton,-,1,"1,327",622,4,102,"2,055"
Easthampton,-,2,"1,234",563,1,95,"1,893"
Easthampton,-,3,"1,353",653,3,127,"2,136"
Easthampton,-,4,"1,340",560,6,116,"2,022"
Easthampton,-,5,"1,355",694,6,100,"2,155"
Egremont,-,1,557,343,1,55,956
Florida,-,1,207,183,0,26,416
Granby,-,1,"1,046",771,0,172,"1,989"
Granby,-,2,959,804,0,187,"1,950"
Granby,-,2A,28,12,0,5,45
Granville,-,1,378,560,0,57,995
"Great Barrington",-,A,651,339,1,62,"1,053"
"Great Barrington",-,B,618,360,1,64,"1,043"
"Great Barrington",-,C,459,228,1,46,734
"Great Barrington",-,D,644,421,4,62,"1,131"
Hampden,-,1,"1,700","1,439",0,154,"3,293"
Hancock,-,1,259,199,0,37,495
Hawley,-,1,116,66,0,14,196
Hinsdale,-,1,723,412,2,81,"1,218"
Holland,-,1,749,731,1,108,"1,589"
Holyoke,1,A,367,120,0,74,561
Holyoke,1,B,469,162,0,75,706
Holyoke,2,A,496,204,0,57,757
Holyoke,2,B,338,120,0,63,521
Holyoke,3,A,686,304,0,75,"1,065"
Holyoke,3,B,829,449,0,81,"1,359"
Holyoke,4,A,373,153,4,52,582
Holyoke,4,B,559,224,0,70,853
Holyoke,5,A,"1,038",691,0,108,"1,837"
Holyoke,5,B,715,386,1,100,"1,202"
Holyoke,6,A,665,281,0,70,"1,016"
Holyoke,6,B,800,379,1,94,"1,274"
Holyoke,7,A,"1,158",505,1,105,"1,769"
Holyoke,7,B,938,436,1,82,"1,457"
Huntington,-,1,565,603,1,70,"1,239"
Lanesborough,-,1,"1,111",605,2,144,"1,862"
Lee,-,1,"1,942","1,085",4,227,"3,258"
Lenox,-,1,"2,336",780,4,177,"3,297"
Longmeadow,-,A,"1,357",547,7,117,"2,028"
Longmeadow,-,B,"1,216",531,15,90,"1,852"
Longmeadow,-,C,"1,285",622,9,149,"2,065"
Longmeadow,-,D,"1,284",582,4,138,"2,008"
Longmeadow,-,E,"1,281",491,5,112,"1,889"
Ludlow,-,1,"1,074",756,3,128,"1,961"
Ludlow,-,2,835,467,3,119,"1,424"
Ludlow,-,3,"1,157","1,021",1,153,"2,332"
Ludlow,-,4,"1,030",679,0,157,"1,866"
Ludlow,-,5,817,605,2,96,"1,520"
Ludlow,-,6,"1,170",855,7,150,"2,182"
Middlefield,-,1,154,146,0,17,317
Monroe,-,1,33,31,0,2,66
Monson,-,A,832,750,0,137,"1,719"
Monson,-,B,748,759,2,142,"1,651"
Monson,-,C,832,757,3,141,"1,733"
Monterey,-,1,359,228,1,16,604
Montgomery,-,1,250,270,0,36,556
"Mount Washington",-,1,66,55,0,4,125
"New Ashford",-,1,100,51,0,13,164
"New Braintree",-,1,352,267,0,56,675
"New Marlborough",-,1,499,449,0,54,"1,002"
"N. Adams",1,1,830,350,0,109,"1,289"
"N. Adams",2,2,747,310,2,91,"1,150"
"N. Adams",3,3,531,218,1,69,819
"N. Adams",4,4,874,325,2,109,"1,310"
"N. Adams",5,5,736,318,3,102,"1,159"
"N. Brookfield",-,1,"1,413","1,167",10,264,"2,854"
Otis,-,1,515,459,1,98,"1,073"
Oxford,-,1,"1,017",795,2,186,"2,000"
Oxford,-,2,988,673,1,169,"1,831"
Oxford,-,3,"1,038",681,3,204,"1,926"
Oxford,-,4,904,721,1,195,"1,821"
Oxford,-,4A,14,13,0,5,32
Palmer,-,1,878,774,0,114,"1,766"
Palmer,-,2,836,795,0,127,"1,758"
Palmer,-,3,783,509,0,85,"1,377"
Palmer,-,4,726,691,0,147,"1,564"
Peru,-,1,276,211,0,41,528
Pittsfield,1,A,696,336,1,79,"1,112"
Pittsfield,1,B,"1,006",417,0,127,"1,550"
Pittsfield,2,A,509,262,0,70,841
Pittsfield,2,B,"1,041",432,2,130,"1,605"
Pittsfield,3,A,"1,160",471,1,115,"1,747"
Pittsfield,3,B,"1,231",526,1,130,"1,888"
Pittsfield,4,A,"1,196",481,3,116,"1,796"
Pittsfield,4,B,"1,372",544,3,130,"2,049"
Pittsfield,5,A,913,401,3,110,"1,427"
Pittsfield,5,B,"1,030",509,0,117,"1,656"
Pittsfield,6,A,"1,045",363,1,98,"1,507"
Pittsfield,6,B,710,287,1,87,"1,085"
Pittsfield,7,A,600,354,0,88,"1,042"
Pittsfield,7,B,"1,066",450,2,123,"1,641"
Plainfield,-,1,258,143,1,30,432
Richmond,-,1,706,260,0,53,"1,019"
Rowe,-,1,145,95,0,25,265
Russell,-,1,396,454,60,1,911
Sandisfield,-,1,225,242,0,40,507
Savoy,-,1,222,163,0,52,437
Sheffield,-,1,810,"1,118",3,108,"2,039"
"S. Hadley",-,A,"1,211",617,0,107,"1,935"
"S. Hadley",-,B,"1,399",656,4,141,"2,200"
"S. Hadley",-,C,"1,391",772,6,147,"2,316"
"S. Hadley",-,D,849,359,5,81,"1,294"
"S. Hadley",-,E,"1,359",755,10,134,"2,258"
Southampton,-,1,"1,081",775,3,146,"2,005"
Southampton,-,2,"1,098",824,8,153,"2,083"
Southbridge,-,1,841,423,8,152,"1,424"
Southbridge,-,2,652,332,8,122,"1,114"
Southbridge,-,3,852,476,9,170,"1,507"
Southbridge,-,4,"1,198",591,16,204,"2,009"
Southbridge,-,5,638,270,9,103,"1,020"
Southwick,-,1,961,"1,113",8,168,"2,250"
Southwick,-,2,753,789,10,126,"1,678"
Southwick,-,3,909,912,10,123,"1,954"
Spencer,-,1,833,586,7,164,"1,590"
Spencer,-,2,756,549,9,101,"1,415"
Spencer,-,3,833,719,1,177,"1,730"
Spencer,-,4,881,652,2,181,"1,716"
Springfield,1,A,324,82,2,117,525
Springfield,1,B,430,125,4,54,613
Springfield,1,C,284,71,2,42,399
Springfield,1,C1,49,11,0,2,62
Springfield,1,D,290,64,1,33,388
Springfield,1,D1,73,12,1,5,91
Springfield,1,E,398,91,3,57,549
Springfield,1,F,375,97,3,70,545
Springfield,1,G,285,85,3,33,406
Springfield,1,H,600,160,4,48,812
Springfield,2,A,459,160,2,38,659
