City/Town,Ward,Pct,"Jennifer A. Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,"1,345",30,555,"1,930"
Acushnet,-,2,"1,289",31,598,"1,918"
Acushnet,-,2A,165,2,66,233
Acushnet,-,3,"1,504",20,666,"2,190"
Attleboro,1,A,"1,363",21,559,"1,943"
Attleboro,1,B,"1,310",18,510,"1,838"
Attleboro,2,A,"1,482",26,653,"2,161"
Attleboro,2,B,"1,416",15,541,"1,972"
Attleboro,3,A,"1,367",14,510,"1,891"
Attleboro,3,B,"1,436",10,615,"2,061"
Attleboro,4,A,"1,249",14,463,"1,726"
Attleboro,4,B,"1,717",30,736,"2,483"
Attleboro,5,A,"1,056",12,295,"1,363"
Attleboro,5,B,"1,502",14,462,"1,978"
Attleboro,6,A,"1,371",16,562,"1,949"
Attleboro,6,B,"1,544",19,549,"2,112"
Berkley,-,1,"1,390",42,835,"2,267"
Berkley,-,2,"1,228",41,727,"1,996"
Dartmouth,-,1,"1,614",13,808,"2,435"
Dartmouth,-,2,"1,167",7,494,"1,668"
Dartmouth,-,3,252,1,61,314
Dartmouth,-,4,"1,508",12,642,"2,162"
Dartmouth,-,5,"1,521",15,629,"2,165"
Dartmouth,-,6,"1,443",6,550,"1,999"
Dartmouth,-,7,"1,645",5,712,"2,362"
Dartmouth,-,8,"1,897",10,743,"2,650"
Dartmouth,-,9,"1,963",1,830,"2,794"
Dighton,-,1,983,0,669,"1,652"
Dighton,-,2,"1,015",0,632,"1,647"
Dighton,-,3,988,0,588,"1,576"
Easton,-,1,"1,552",14,810,"2,376"
Easton,-,2,"1,503",14,752,"2,269"
Easton,-,3,610,9,324,943
Easton,-,4A,679,3,397,"1,079"
Easton,-,4B,795,7,434,"1,236"
Easton,-,5,"1,378",25,655,"2,058"
Easton,-,6,"1,427",11,788,"2,226"
Easton,-,7,"1,471",17,661,"2,149"
Fairhaven,-,1,"1,126",10,478,"1,614"
Fairhaven,-,2,"1,149",10,415,"1,574"
Fairhaven,-,3,983,16,381,"1,380"
Fairhaven,-,4,"1,172",7,501,"1,680"
Fairhaven,-,5,"1,090",8,604,"1,702"
Fairhaven,-,6,"1,134",10,534,"1,678"
"Fall River",1,A,"1,067",37,557,"1,661"
"Fall River",1,B,753,27,347,"1,127"
"Fall River",1,C,828,33,378,"1,239"
"Fall River",2,A,614,26,249,889
