City/Town,Ward,Pct,"Harris/ Walz","Trump/ Vance","Stein/ Caballero-Roca","Ayyadurai/ Ellis","Oliver/ Ter Maat","De La Cruz/ Garcia","Sonski/ Onak","West/ Abdullah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Libertarian,Unenrolled,Unenrolled,Unenrolled
Abington,-,1,"1,019",905,15,19,12,5,0,0,6,20,"2,001"
Abington,-,2,833,882,11,5,8,3,0,0,11,21,"1,774"
Abington,-,3,872,985,7,13,8,3,1,0,7,13,"1,909"
Abington,-,4,978,954,6,11,13,5,0,0,5,30,"2,002"
Abington,-,5,"1,012",913,8,13,11,6,0,0,5,21,"1,989"
Acton,-,1,"1,051",359,14,8,6,2,0,0,16,17,"1,473"
Acton,-,2,"1,504",397,20,10,16,9,0,0,18,30,"2,004"
Acton,-,3,"1,744",388,24,7,21,4,0,0,26,27,"2,241"
Acton,-,4,"1,583",377,30,10,13,5,0,0,16,23,"2,057"
Acton,-,5,"1,561",354,15,13,16,5,0,0,24,12,"2,000"
Acton,-,6,"1,097",220,15,8,11,4,0,0,12,8,"1,375"
Acton,-,6A,467,90,8,3,3,1,0,0,4,8,584
Acton,-,7,"1,170",351,23,9,8,5,0,0,7,24,"1,597"
Acushnet,-,1,745,"1,148",7,9,12,0,0,0,2,7,"1,930"
Acushnet,-,2,670,"1,201",6,12,4,1,0,0,9,15,"1,918"
Acushnet,-,2A,92,138,1,1,0,0,0,0,0,1,233
Acushnet,-,3,804,"1,321",3,18,10,7,0,0,9,18,"2,190"
Adams,-,1,463,277,3,6,3,1,0,0,5,7,765
Adams,-,2,539,357,7,4,3,2,0,0,4,8,924
Adams,-,3,529,362,4,5,5,1,0,0,3,6,915
Adams,-,4,475,303,3,5,5,2,0,0,1,8,802
Adams,-,5,597,360,4,9,7,4,0,0,2,6,989
Agawam,-,1,746,949,7,12,11,5,0,0,8,8,"1,746"
Agawam,-,2,929,"1,190",20,8,7,3,0,0,10,23,"2,190"
Agawam,-,3,807,"1,039",22,15,6,4,0,0,12,14,"1,919"
Agawam,-,4,796,807,8,8,6,1,0,0,12,16,"1,654"
Agawam,-,5,989,"1,114",16,13,8,1,0,0,10,28,"2,179"
Agawam,-,6,858,"1,051",15,12,5,3,0,0,10,18,"1,972"
Agawam,-,7,907,"1,174",8,14,3,4,0,0,9,20,"2,139"
Agawam,-,8,910,"1,050",13,15,15,3,0,0,10,17,"2,033"
Alford,-,1,252,58,3,0,3,1,0,0,0,9,326
Amesbury,-,1,"1,324",710,7,8,16,2,0,0,0,28,"2,095"
Amesbury,-,2,"1,130",528,10,10,13,7,0,0,0,22,"1,720"
Amesbury,-,3,"1,205",540,4,6,18,2,0,0,0,27,"1,802"
Amesbury,-,4,856,533,7,7,4,1,0,0,0,21,"1,429"
Amesbury,-,5,"1,096",729,9,16,13,2,0,0,0,30,"1,895"
Amesbury,-,6,956,460,17,10,12,1,0,0,0,24,"1,480"
Amherst,-,1A,871,102,33,0,5,26,0,0,12,12,"1,061"
Amherst,-,1B,478,49,7,3,3,9,0,0,4,3,556
Amherst,-,2A,552,62,10,3,2,8,0,2,0,2,641
Amherst,-,2B,"1,502",171,34,1,2,11,0,0,9,14,"1,744"
Amherst,-,3A,511,63,5,2,2,4,0,0,8,11,606
Amherst,-,3B,"1,397",165,32,2,4,16,0,0,9,7,"1,632"
Amherst,-,4A,751,55,22,3,5,15,0,0,7,5,863
Amherst,-,4B,473,28,16,1,2,6,0,2,4,4,536
Amherst,-,5A,610,42,15,1,8,8,0,0,2,7,693
Amherst,-,5B,"2,171",152,37,4,8,9,0,3,12,15,"2,411"
Andover,-,1,"1,049",343,9,7,11,5,0,0,10,16,"1,450"
Andover,-,2,"1,354",664,17,16,9,5,1,1,8,29,"2,104"
Andover,-,3,"1,565",661,17,16,11,10,0,0,25,15,"2,320"
Andover,-,4,749,465,4,3,2,2,0,0,17,18,"1,260"
Andover,-,4A,421,247,16,3,1,3,0,0,3,6,700
Andover,-,5,"1,291",788,18,4,13,4,0,0,11,24,"2,153"
Andover,-,6,"1,171",751,19,14,14,7,0,0,19,36,"2,031"
Andover,-,7,"1,371",722,17,15,11,5,0,1,8,39,"2,189"
Andover,-,8,"1,490",709,19,13,12,5,1,0,24,22,"2,295"
Andover,-,9,"1,237",653,21,13,12,2,0,0,13,24,"1,975"
Andover,-,10,"1,417",687,17,11,22,3,0,1,19,25,"2,202"
Aquinnah,-,1,304,37,2,1,1,2,0,0,4,0,351
Arlington,-,1,756,186,11,4,8,8,0,0,5,10,988
Arlington,-,2,"1,131",188,13,2,10,13,0,0,9,17,"1,383"
Arlington,-,3,"1,118",140,19,3,2,4,0,0,5,21,"1,312"
Arlington,-,4,"1,006",172,24,3,6,11,2,0,4,13,"1,241"
Arlington,-,5,"1,148",193,16,11,9,4,2,0,8,13,"1,404"
Arlington,-,6,"1,055",135,25,5,8,9,0,1,4,17,"1,259"
Arlington,-,7,"1,045",182,23,5,6,11,0,1,3,20,"1,296"
Arlington,-,8,"1,193",190,13,4,3,5,0,0,8,13,"1,429"
Arlington,-,9,887,194,8,4,1,5,0,0,11,9,"1,119"
Arlington,-,10,"1,242",133,10,5,3,9,2,0,11,18,"1,433"
Arlington,-,11,"1,149",283,13,4,6,9,0,0,8,17,"1,489"
Arlington,-,12,"1,255",214,19,5,6,5,0,0,12,16,"1,532"
Arlington,-,13,"1,028",348,5,5,2,7,3,0,15,18,"1,431"
Arlington,-,14,"1,029",160,11,1,8,6,0,0,7,11,"1,233"
Arlington,-,15,"1,011",208,18,5,6,7,0,0,8,14,"1,277"
Arlington,-,16,"1,094",208,18,5,7,2,0,1,7,12,"1,354"
Arlington,-,17,947,202,18,7,4,9,0,0,5,13,"1,205"
Arlington,-,18,"1,027",295,9,5,13,3,0,0,8,11,"1,371"
Arlington,-,19,"1,095",223,7,2,4,4,0,1,5,15,"1,356"
Arlington,-,20,"1,043",201,10,3,8,11,0,0,7,14,"1,297"
Arlington,-,21,"1,140",164,16,4,7,6,1,1,8,8,"1,355"
Ashburnham,-,1,947,936,10,12,11,5,0,0,11,14,"1,946"
Ashburnham,-,2,"1,018",859,13,15,9,5,0,0,14,14,"1,947"
Ashby,-,1,936,"1,009",11,8,13,5,0,0,0,21,"2,003"
Ashfield,-,1,919,235,21,8,9,10,0,0,2,12,"1,216"
Ashland,-,1,975,476,11,12,9,1,0,0,0,14,"1,498"
Ashland,-,2,"1,359",565,15,13,20,9,0,0,0,32,"2,013"
Ashland,-,3,"1,004",436,19,12,8,0,2,0,0,33,"1,514"
Ashland,-,4,985,480,11,4,14,2,0,0,0,25,"1,521"
Ashland,-,5,"1,086",458,4,12,7,5,0,0,0,26,"1,598"
Ashland,-,6,"1,180",506,9,9,16,2,0,0,0,40,"1,762"
Athol,-,1,946,"1,066",8,14,3,2,0,0,17,24,"2,080"
Athol,-,2,792,"1,010",7,22,11,6,0,0,9,9,"1,866"
Athol,-,3,864,876,6,16,7,1,0,0,4,9,"1,783"
Attleboro,1,A,973,903,19,13,4,4,1,0,12,14,"1,943"
Attleboro,1,B,923,862,11,7,12,0,0,1,9,13,"1,838"
Attleboro,2,A,"1,178",918,15,10,9,9,2,0,8,12,"2,161"
Attleboro,2,B,989,902,25,13,10,5,0,0,12,16,"1,972"
Attleboro,3,A,"1,078",738,15,4,16,6,0,1,7,26,"1,891"
Attleboro,3,B,"1,167",824,22,9,6,7,0,1,8,17,"2,061"
Attleboro,4,A,"1,005",651,15,14,7,11,0,0,4,19,"1,726"
Attleboro,4,B,"1,324","1,102",7,10,6,7,0,0,9,18,"2,483"
Attleboro,5,A,837,482,9,5,8,10,0,0,4,8,"1,363"
Attleboro,5,B,"1,072",840,8,13,8,10,0,0,10,17,"1,978"
Attleboro,6,A,990,892,22,15,7,6,0,1,6,10,"1,949"
Attleboro,6,B,"1,139",893,21,10,14,2,1,0,6,26,"2,112"
Auburn,-,1,"1,081",837,20,9,11,4,0,0,14,19,"1,995"
Auburn,-,2,"1,022",930,7,15,10,5,0,0,7,14,"2,010"
Auburn,-,3,"1,094",988,13,15,4,2,0,0,9,21,"2,146"
Auburn,-,4,"1,081",867,17,17,13,7,0,0,11,27,"2,040"
Auburn,-,5,928,890,7,13,14,7,0,0,9,14,"1,882"
Avon,-,1,"1,375","1,125",15,11,10,6,0,0,8,33,"2,583"
Ayer,-,1,914,546,12,8,6,1,0,0,0,32,"1,519"
Ayer,-,2,"1,075",609,9,7,14,6,0,0,0,38,"1,758"
Ayer,-,3,881,483,9,19,11,5,0,0,0,19,"1,427"
Barnstable,-,1,"1,622",942,10,8,11,4,0,0,13,26,"2,636"
Barnstable,-,2,"1,297","1,029",13,17,13,6,0,0,17,18,"2,410"
Barnstable,-,3,990,780,7,3,8,5,0,0,14,9,"1,816"
Barnstable,-,4,"1,250",862,7,8,10,3,0,0,22,27,"2,189"
Barnstable,-,5,"1,389","1,211",10,13,15,1,0,0,23,35,"2,697"
Barnstable,-,6,"1,283","1,109",7,16,13,8,0,0,6,16,"2,458"
Barnstable,-,7,"1,536","1,063",13,10,19,6,0,0,30,23,"2,700"
Barnstable,-,8,852,681,4,7,8,3,0,0,4,12,"1,571"
Barnstable,-,9,508,341,2,4,2,3,0,0,7,6,873
Barnstable,-,10,"1,074","1,033",9,11,14,5,0,0,12,21,"2,179"
Barnstable,-,11,"1,265","1,156",7,7,12,5,0,0,14,18,"2,484"
Barnstable,-,12,"1,274","1,105",12,9,11,9,0,0,11,23,"2,454"
Barnstable,-,13,887,607,2,7,6,6,0,0,7,8,"1,530"
Barre,-,1,760,767,5,4,10,2,2,1,3,17,"1,571"
Barre,-,2,648,858,7,9,5,3,0,6,0,18,"1,554"
Becket,-,1,743,448,8,7,9,4,0,0,16,12,"1,247"
Bedford,-,1,"1,610",523,22,14,14,2,0,0,27,26,"2,238"
Bedford,-,2,941,452,9,10,5,4,0,0,18,16,"1,455"
Bedford,-,2A,271,141,1,2,4,2,0,0,8,7,436
Bedford,-,3,"1,578",557,24,9,20,4,0,0,15,23,"2,230"
Bedford,-,4,"1,474",519,19,12,12,7,0,0,11,19,"2,073"
Belchertown,-,A,"1,477",834,19,11,20,5,1,0,0,32,"2,399"
Belchertown,-,B,"1,361","1,175",14,18,12,2,2,0,0,27,"2,611"
Belchertown,-,C,"1,361","1,026",6,15,10,9,0,0,9,13,"2,449"
Belchertown,-,D,"1,404",685,23,8,15,12,1,0,2,22,"2,172"
Bellingham,-,1,912,876,6,11,12,5,0,0,15,10,"1,847"
Bellingham,-,2,"1,034","1,002",13,15,3,5,0,0,23,25,"2,120"
Bellingham,-,3,"1,156","1,017",16,9,8,3,0,0,12,17,"2,238"
Bellingham,-,4,904,931,14,12,14,4,0,0,6,13,"1,898"
Bellingham,-,5,888,"1,043",6,9,9,3,0,0,10,15,"1,983"
Belmont,-,1,"1,379",310,21,13,13,5,0,1,11,40,"1,793"
Belmont,-,2,"1,506",509,20,12,14,7,0,0,33,39,"2,140"
Belmont,-,3,"1,357",329,18,13,13,12,0,0,12,24,"1,778"
Belmont,-,4,"1,144",336,23,6,7,13,0,0,9,12,"1,550"
Belmont,-,5,"1,362",338,31,8,7,11,0,1,12,20,"1,790"
Belmont,-,6,"1,680",356,31,4,9,10,0,2,12,35,"2,139"
Belmont,-,7,"1,411",315,21,12,9,11,0,1,13,22,"1,815"
Belmont,-,8,"1,157",374,20,12,16,8,0,0,27,35,"1,649"
Berkley,-,1,888,"1,323",7,10,10,1,0,0,8,20,"2,267"
Berkley,-,2,724,"1,226",6,7,5,2,0,0,12,14,"1,996"
Berlin,-,1,"1,385",941,16,14,26,9,0,0,16,22,"2,429"
Bernardston,-,1,878,491,14,5,10,0,0,0,7,6,"1,411"
Beverly,1,1,"1,260",705,11,12,7,6,0,0,1,25,"2,027"
Beverly,1,2,"1,453",762,17,15,23,5,0,0,6,34,"2,315"
Beverly,2,1,"1,422",593,20,8,10,24,0,0,7,41,"2,125"
Beverly,2,2,"1,411",475,21,15,9,10,3,0,1,25,"1,970"
Beverly,3,1,947,407,12,7,12,11,1,0,0,21,"1,418"
Beverly,3,2,"1,137",667,10,11,10,7,0,0,4,24,"1,870"
Beverly,4,1,715,293,6,5,5,4,1,0,0,25,"1,054"
Beverly,4,2,"1,796",552,15,10,16,8,1,0,3,27,"2,428"
Beverly,5,1,"1,206",734,7,10,15,6,0,0,3,28,"2,009"
Beverly,5,2,"1,206",677,10,19,16,4,0,0,9,26,"1,967"
Beverly,6,1,"1,554",676,20,9,18,3,0,0,10,34,"2,324"
Beverly,6,2,"1,429",872,12,11,16,3,2,0,13,43,"2,401"
Billerica,-,1,835,675,17,9,10,3,0,0,12,11,"1,572"
Billerica,-,2,"1,078",960,8,11,9,6,0,0,25,10,"2,107"
Billerica,-,3,979,"1,058",18,6,6,3,0,0,11,14,"2,095"
Billerica,-,4,908,849,13,7,4,3,0,0,18,17,"1,819"
