City/Town,Ward,Pct,"Michelle L. Laramee-Jenny","All Others",Blanks,"Total Votes Cast"
,,,Unenrolled
Alford,-,1,247,0,79,326
Egremont,-,1,667,0,289,956
"Great Barrington",-,A,779,4,270,"1,053"
"Great Barrington",-,B,781,2,260,"1,043"
"Great Barrington",-,C,546,1,187,734
"Great Barrington",-,D,785,5,341,"1,131"
Monterey,-,1,470,1,133,604
"Mount Washington",-,1,97,0,28,125
"New Marlborough",-,1,370,4,628,"1,002"
Sandisfield,-,1,355,0,152,507
Sheffield,-,1,"1,551",8,480,"2,039"
"W. Stockbridge",-,1,721,2,218,941
TOTALS,,,"7,369",27,"3,065","10,461"
