City/Town,Ward,Pct,"Mary K. Olberding","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,850,22,189,"1,061"
Amherst,-,1B,441,12,103,556
Amherst,-,2A,500,6,135,641
Amherst,-,2B,"1,421",23,300,"1,744"
Amherst,-,3A,480,2,124,606
Amherst,-,3B,"1,283",17,332,"1,632"
Amherst,-,4A,667,12,184,863
Amherst,-,4B,429,2,105,536
Amherst,-,5A,558,8,127,693
Amherst,-,5B,"1,966",15,430,"2,411"
Belchertown,-,A,"1,726",3,670,"2,399"
Belchertown,-,B,"1,838",9,764,"2,611"
Belchertown,-,C,"1,721",0,728,"2,449"
Belchertown,-,D,"1,567",6,599,"2,172"
Chesterfield,-,1,626,0,210,836
Cummington,-,1,453,0,134,587
Easthampton,-,1,"1,598",6,451,"2,055"
Easthampton,-,2,"1,501",6,386,"1,893"
Easthampton,-,3,"1,642",8,486,"2,136"
Easthampton,-,4,"1,601",6,415,"2,022"
Easthampton,-,5,"1,621",6,528,"2,155"
Goshen,-,1,497,2,172,671
Granby,-,1,"1,299",0,690,"1,989"
Granby,-,2,"1,214",0,736,"1,950"
Granby,-,2A,31,0,14,45
Hadley,-,1,"2,505",5,832,"3,342"
Hatfield,-,1,"1,700",9,542,"2,251"
Huntington,-,1,844,5,390,"1,239"
Middlefield,-,1,241,0,76,317
Northampton,1,A,952,2,199,"1,153"
Northampton,1,B,"1,080",8,229,"1,317"
Northampton,2,A,806,1,191,998
Northampton,2,B,685,1,138,824
Northampton,3,A,997,6,263,"1,266"
Northampton,3,B,998,4,243,"1,245"
Northampton,4,A,824,3,164,991
Northampton,4,B,"1,051",3,273,"1,327"
Northampton,5,A,880,3,241,"1,124"
Northampton,5,B,"1,096",2,217,"1,315"
Northampton,6,A,"1,213",4,331,"1,548"
Northampton,6,B,"1,223",7,289,"1,519"
Northampton,7,A,978,2,276,"1,256"
Northampton,7,B,"1,014",3,315,"1,332"
Pelham,-,1,719,0,142,861
Plainfield,-,1,315,0,117,432
"S. Hadley",-,A,"1,433",4,498,"1,935"
"S. Hadley",-,B,"1,574",9,617,"2,200"
"S. Hadley",-,C,"1,641",8,667,"2,316"
"S. Hadley",-,D,950,4,340,"1,294"
"S. Hadley",-,E,"1,608",9,641,"2,258"
Southampton,-,1,"1,376",23,606,"2,005"
Southampton,-,2,"1,431",29,623,"2,083"
Ware,-,A,"1,057",2,370,"1,429"
Ware,-,B,"1,105",9,539,"1,653"
Ware,-,C,"1,382",3,662,"2,047"
Westhampton,-,1,932,9,307,"1,248"
Williamsburg,-,1,"1,458",4,371,"1,833"
Worthington,-,1,651,2,225,878
TOTALS,,,"64,249",354,"20,946","85,549"
