City/Town,Ward,Pct,"Maria C. Curtatone","William Tauro","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Acton,-,1,965,304,4,200,"1,473"
Acton,-,2,"1,302",416,5,281,"2,004"
Acton,-,3,"1,494",412,4,331,"2,241"
Acton,-,4,"1,390",389,3,275,"2,057"
Acton,-,5,"1,360",371,6,263,"2,000"
Acton,-,6,960,234,3,178,"1,375"
Acton,-,6A,406,109,2,67,584
Acton,-,7,"1,026",333,6,232,"1,597"
Arlington,-,1,702,165,4,117,988
Arlington,-,2,994,215,2,172,"1,383"
Arlington,-,3,985,162,2,163,"1,312"
Arlington,-,4,918,163,3,157,"1,241"
Arlington,-,5,"1,022",213,4,165,"1,404"
Arlington,-,6,962,146,1,150,"1,259"
Arlington,-,7,962,186,1,147,"1,296"
Arlington,-,8,"1,036",184,4,205,"1,429"
Arlington,-,9,784,181,1,153,"1,119"
Arlington,-,10,"1,093",162,3,175,"1,433"
Arlington,-,11,"1,037",271,3,178,"1,489"
Arlington,-,12,"1,131",204,1,196,"1,532"
Arlington,-,13,932,295,3,201,"1,431"
Arlington,-,14,891,173,2,167,"1,233"
Arlington,-,15,891,192,3,191,"1,277"
Arlington,-,16,966,194,0,194,"1,354"
Arlington,-,17,838,176,1,190,"1,205"
Arlington,-,18,884,276,2,209,"1,371"
Arlington,-,19,996,198,1,161,"1,356"
Arlington,-,20,920,200,0,177,"1,297"
Arlington,-,21,"1,011",172,1,171,"1,355"
Ashby,-,1,929,801,0,273,"2,003"
Ashland,-,1,931,385,0,182,"1,498"
Ashland,-,2,"1,302",479,0,232,"2,013"
Ashland,-,3,955,375,0,184,"1,514"
Ashland,-,4,953,384,0,184,"1,521"
Ashland,-,5,994,420,0,184,"1,598"
Ashland,-,6,"1,112",429,0,221,"1,762"
Ayer,-,1,829,459,0,231,"1,519"
Ayer,-,2,985,532,0,241,"1,758"
Ayer,-,3,837,389,0,201,"1,427"
Bedford,-,1,"1,389",529,8,312,"2,238"
