City/Town,Ward,Pct,"Michelle Marie Dubois","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,4,A,575,0,125,700
Brockton,4,B,953,3,244,"1,200"
Brockton,4,C,"1,130",3,373,"1,506"
Brockton,4,D,"1,048",0,363,"1,411"
Brockton,5,A,760,2,180,942
Brockton,5,B,"1,177",2,274,"1,453"
Brockton,5,C,981,2,197,"1,180"
Brockton,5,D,"1,264",8,347,"1,619"
Brockton,6,A,956,4,230,"1,190"
Brockton,6,B,"1,155",0,397,"1,552"
Brockton,6,C,"1,105",5,272,"1,382"
Brockton,6,D,"1,305",0,511,"1,816"
TOTALS,,,"12,409",29,"3,513","15,951"
