City/Town,Ward,Pct,"Judith A. Garcia","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelsea,1,1,324,0,145,469
Chelsea,1,2,226,0,80,306
Chelsea,1,3,311,0,106,417
Chelsea,1,4,301,0,98,399
Chelsea,2,1,747,0,336,"1,083"
Chelsea,2,2,507,0,129,636
Chelsea,2,3,279,0,103,382
Chelsea,2,4,351,0,100,451
Chelsea,3,1,386,0,139,525
Chelsea,3,2,432,0,155,587
Chelsea,3,3,388,0,119,507
Chelsea,3,4,402,0,135,537
Chelsea,4,1,486,0,165,651
Chelsea,4,2,449,0,228,677
Chelsea,4,3,440,0,225,665
Chelsea,4,4,395,0,182,577
Everett,2,1,542,27,217,786
Everett,2,2A,228,5,77,310
TOTALS,,,"7,194",32,"2,739","9,965"
