City/Town,Ward,Pct,"Norman J. Orrall","All Others",Blanks,"Total Votes Cast"
,,,Republican
Berkley,-,1,"1,643",23,601,"2,267"
Berkley,-,2,"1,525",21,450,"1,996"
Lakeville,-,1,"1,974",17,554,"2,545"
Lakeville,-,2,"2,043",14,741,"2,798"
Lakeville,-,3,"1,926",35,551,"2,512"
Middleborough,-,2,"1,315",23,437,"1,775"
Middleborough,-,4,"1,177",21,389,"1,587"
Middleborough,-,5,"1,435",8,428,"1,871"
Middleborough,-,7,"1,079",16,385,"1,480"
Taunton,3,A,887,11,588,"1,486"
Taunton,3,B,"1,246",21,695,"1,962"
Taunton,4,A,"1,282",10,582,"1,874"
Taunton,4,B,"1,225",18,592,"1,835"
TOTALS,,,"18,757",238,"6,993","25,988"
