City/Town,Ward,Pct,"Carmine Lawrence Gentile","Virginia A Gardner","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Concord,-,3,"1,719",537,1,222,"2,479"
Concord,-,4,"1,904",514,1,230,"2,649"
Lincoln,-,1,"1,834",432,1,197,"2,464"
Marlborough,1,1,652,338,1,86,"1,077"
Marlborough,1,2,"1,062",594,0,160,"1,816"
Marlborough,2,2A,4,7,0,2,13
Marlborough,7,2A,26,15,0,4,45
Sudbury,-,1,"1,468",518,3,116,"2,105"
Sudbury,-,2,"1,451",435,6,99,"1,991"
Sudbury,-,3,"1,235",431,5,128,"1,799"
Sudbury,-,4,"1,496",491,1,134,"2,122"
Sudbury,-,5,"1,286",507,0,133,"1,926"
Sudbury,-,6,"1,361",491,2,146,"2,000"
Wayland,-,1,"1,572",675,3,170,"2,420"
Wayland,-,4,"1,477",682,0,204,"2,363"
TOTALS,,,"18,547","6,667",24,"2,031","27,269"
