City/Town,Ward,Pct,"John J. Mahoney, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,1,1,692,20,182,894
Worcester,1,2,"1,605",59,474,"2,138"
Worcester,1,3,847,19,265,"1,131"
Worcester,1,4,"1,431",44,393,"1,868"
Worcester,1,6,"1,602",53,454,"2,109"
Worcester,3,2,394,12,75,481
Worcester,9,1,802,39,209,"1,050"
Worcester,9,2,"1,293",17,375,"1,685"
Worcester,9,3,746,34,183,963
Worcester,9,4,"1,522",42,353,"1,917"
Worcester,9,5,"1,614",52,443,"2,109"
Worcester,9,6,"1,322",53,394,"1,769"
Worcester,10,1,534,20,105,659
TOTALS,,,"14,404",464,"3,905","18,773"
