City/Town,Ward,Pct,"Daniel M. Donahue","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,5,1,578,30,120,728
Worcester,5,2,"1,059",39,241,"1,339"
Worcester,5,3,"1,231",57,438,"1,726"
Worcester,5,4,"1,157",42,294,"1,493"
Worcester,5,5,"1,117",48,314,"1,479"
Worcester,5,6,892,47,255,"1,194"
Worcester,6,2,590,24,116,730
Worcester,6,3,524,23,111,658
Worcester,6,4,121,4,24,149
Worcester,6,5,739,33,171,943
Worcester,6,6,"1,124",40,271,"1,435"
Worcester,8,1,480,17,105,602
Worcester,8,5,545,29,115,689
TOTALS,,,"10,157",433,"2,575","13,165"
