City/Town,Ward,Pct,"John P. Barrett, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,625,4,136,765
Adams,-,2,789,9,126,924
Adams,-,3,744,2,169,915
Adams,-,4,651,3,148,802
Adams,-,5,823,11,155,989
Cheshire,-,1,"1,431",15,508,"1,954"
Clarksburg,-,1,791,3,186,980
Florida,-,1,328,0,88,416
Hancock,-,1,376,0,119,495
Hinsdale,-,1,935,1,282,"1,218"
Lanesborough,-,1,"1,416",12,434,"1,862"
"New Ashford",-,1,134,0,30,164
"N. Adams",1,1,"1,028",4,257,"1,289"
"N. Adams",2,2,958,10,182,"1,150"
"N. Adams",3,3,656,9,154,819
"N. Adams",4,4,"1,068",9,233,"1,310"
"N. Adams",5,5,944,16,199,"1,159"
Peru,-,1,376,1,151,528
Savoy,-,1,323,1,113,437
Williamstown,-,1,"1,258",11,243,"1,512"
Williamstown,-,2,348,4,87,439
Williamstown,-,3,"1,386",6,299,"1,691"
Windsor,-,1,397,0,164,561
TOTALS,,,"17,785",131,"4,463","22,379"
