City/Town,Ward,Pct,"Tackey Chan","Sharon Marie Cintolo","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Quincy,1,1,795,346,5,92,"1,238"
Quincy,1,2,667,315,1,136,"1,119"
Quincy,1,3,931,298,0,107,"1,336"
Quincy,1,4,"1,275",585,8,160,"2,028"
Quincy,1,5,"1,307",606,6,157,"2,076"
Quincy,3,1,"1,128",509,1,143,"1,781"
Quincy,3,2,945,335,5,104,"1,389"
Quincy,4,2,949,563,6,132,"1,650"
Quincy,4,4,740,299,2,85,"1,126"
Quincy,5,1,434,200,4,57,695
Quincy,5,2,797,322,2,133,"1,254"
Quincy,5,3,"1,221",461,5,142,"1,829"
Quincy,5,4,751,311,1,134,"1,197"
Quincy,5,5,979,500,5,126,"1,610"
TOTALS,,,"12,919","5,650",51,"1,708","20,328"
