City/Town,Ward,Pct,"John Robert Gaskey","Sarah G. Hewins","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Carver,-,1,"1,646",269,36,431,"2,382"
Carver,-,2,"1,558",278,29,426,"2,291"
Carver,-,3,"1,620",295,8,588,"2,511"
Middleborough,-,3,"1,537",69,11,500,"2,117"
Middleborough,-,6,"1,510",48,10,523,"2,091"
Middleborough,-,7A,410,24,1,109,544
Wareham,-,1,"1,396",159,0,566,"2,121"
Wareham,-,2,"1,449",207,0,676,"2,332"
Wareham,-,3,"1,360",239,0,633,"2,232"
Wareham,-,4,"1,496",107,0,576,"2,179"
Wareham,-,5,"1,617",159,0,578,"2,354"
Wareham,-,6,"1,397",243,0,371,"2,011"
TOTALS,,,"16,996","2,097",95,"5,977","25,165"
