City/Town,Ward,Pct,"Daniel J. Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,"1,196",35,313,"1,544"
Boston,2,2,"1,014",24,346,"1,384"
Boston,2,3,"1,171",28,358,"1,557"
Boston,2,4,"1,095",24,267,"1,386"
Boston,2,5,"1,198",25,252,"1,475"
Boston,2,6,"1,028",20,226,"1,274"
Boston,2,7,720,13,148,881
Boston,2,8,601,15,211,827
Boston,5,10,539,13,138,690
Boston,5,12,577,11,106,694
Boston,21,1,915,11,189,"1,115"
Cambridge,1,1,817,7,186,"1,010"
Cambridge,1,2,348,3,102,453
Cambridge,2,3,"1,117",5,263,"1,385"
Everett,1,3,289,12,91,392
TOTALS,,,"12,625",246,"3,196","16,067"
