City/Town,Ward,Pct,"Andres X. Vargas","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,1,1,533,0,162,695
Haverhill,1,2,577,0,167,744
Haverhill,1,2A,232,0,92,324
Haverhill,1,3,489,0,181,670
Haverhill,1,3A,329,0,139,468
Haverhill,2,3,699,2,207,908
Haverhill,3,1,816,3,253,"1,072"
Haverhill,3,2,756,4,239,999
Haverhill,3,3,778,2,229,"1,009"
Haverhill,4,1,"1,329",16,539,"1,884"
Haverhill,4,2,"1,369",12,696,"2,077"
Haverhill,4,3,"1,236",10,580,"1,826"
Haverhill,5,3A,94,2,44,140
Haverhill,6,1,"1,136",11,483,"1,630"
Haverhill,6,2,800,8,329,"1,137"
Haverhill,6,2A,365,0,103,468
Haverhill,6,3,"1,257",4,494,"1,755"
Haverhill,7,3,"1,403",12,608,"2,023"
TOTALS,,,"14,198",86,"5,545","19,829"
