City/Town,Ward,Pct,"Kate Hogan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bolton,-,1,"2,819",75,812,"3,706"
Hudson,-,1,"1,428",10,426,"1,864"
Hudson,-,2,"1,195",9,422,"1,626"
Hudson,-,3,"1,466",7,476,"1,949"
Hudson,-,4,"1,645",17,624,"2,286"
Hudson,-,5,"1,655",19,485,"2,159"
Hudson,-,6,"1,147",11,391,"1,549"
Maynard,-,1,"1,393",13,318,"1,724"
Maynard,-,2,"1,216",5,273,"1,494"
Maynard,-,3,"1,657",9,397,"2,063"
Maynard,-,4,"1,170",7,304,"1,481"
Stow,-,1,"1,935",24,522,"2,481"
Stow,-,2,"1,811",13,501,"2,325"
TOTALS,,,"20,537",219,"5,951","26,707"
