City/Town,Ward,Pct,"Natalie Higgins","Salvatore Perla","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Leominster,1,A,875,735,1,108,"1,719"
Leominster,1,B,917,616,0,108,"1,641"
Leominster,1,C,735,472,0,82,"1,289"
Leominster,2,A,598,386,0,70,"1,054"
Leominster,2,B,692,525,0,81,"1,298"
Leominster,2,C,476,381,1,48,906
Leominster,3,A,766,513,0,75,"1,354"
Leominster,3,B,966,645,0,113,"1,724"
Leominster,3,C,821,668,0,87,"1,576"
Leominster,4,A,900,766,0,94,"1,760"
Leominster,4,B,787,738,0,96,"1,621"
Leominster,4,C,709,518,0,88,"1,315"
Leominster,5,A,688,491,0,71,"1,250"
Leominster,5,B,846,587,0,72,"1,505"
Leominster,5,C,614,377,0,48,"1,039"
TOTALS,,,"11,390","8,418",2,"1,241","21,051"
