City/Town,Ward,Pct,"Justin Thurber","Patricia A. Haddad","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Dighton,-,1,849,700,0,103,"1,652"
Dighton,-,2,932,625,0,90,"1,647"
Dighton,-,3,847,627,0,102,"1,576"
Somerset,-,1,"1,114","1,140",0,76,"2,330"
Somerset,-,2,"1,127","1,101",0,70,"2,298"
Somerset,-,3,"1,052","1,128",0,77,"2,257"
Somerset,-,4,"1,009","1,007",0,94,"2,110"
Somerset,-,5,"1,130",902,4,100,"2,136"
Swansea,-,1,"1,196",754,3,83,"2,036"
Swansea,-,2,996,914,3,98,"2,011"
Swansea,-,3,"1,051",925,1,98,"2,075"
Taunton,1,A1,18,50,0,14,82
Taunton,4,B1,19,12,1,5,37
Taunton,6,A,455,699,1,142,"1,297"
Taunton,6,B,595,880,2,161,"1,638"
TOTALS,,,"12,390","11,464",15,"1,313","25,182"
