City/Town,Ward,Pct,"Carole A. Fiola","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",5,B,440,13,123,576
"Fall River",5,C,573,24,188,785
"Fall River",6,C,780,27,298,"1,105"
"Fall River",7,A,919,30,349,"1,298"
"Fall River",7,B,645,30,209,884
"Fall River",7,C,765,27,246,"1,038"
"Fall River",8,A,724,29,284,"1,037"
"Fall River",8,B,"1,051",49,422,"1,522"
"Fall River",8,C,"1,146",40,444,"1,630"
"Fall River",9,A,"1,377",40,597,"2,014"
"Fall River",9,B,"1,010",46,424,"1,480"
"Fall River",9,C,"1,126",44,417,"1,587"
Freetown,-,1,"1,210",25,599,"1,834"
TOTALS,,,"11,766",424,"4,600","16,790"
