City/Town,Ward,Pct,"Jerald A. Parisella","Ty Vitale","Euplio R. Marciano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Beverly,1,1,"1,321",472,122,2,110,"2,027"
Beverly,1,2,"1,498",535,149,0,133,"2,315"
Beverly,2,1,"1,460",405,122,1,137,"2,125"
Beverly,2,2,"1,389",365,95,1,120,"1,970"
Beverly,3,1,974,265,98,0,81,"1,418"
Beverly,3,2,"1,204",433,137,2,94,"1,870"
Beverly,4,1,759,222,30,0,43,"1,054"
Beverly,4,2,"1,824",415,81,3,105,"2,428"
Beverly,5,1,"1,283",501,108,0,117,"2,009"
Beverly,5,2,"1,296",472,71,1,127,"1,967"
Beverly,6,1,"1,508",557,84,0,175,"2,324"
Beverly,6,2,"1,551",596,103,0,151,"2,401"
Wenham,-,1,531,310,16,1,89,947
TOTALS,,,"16,598","5,548","1,216",11,"1,482","24,855"
