City/Town,Ward,Pct,"Priscila S. Sousa","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Framingham,-,1,338,11,87,436
Framingham,-,2,348,16,72,436
Framingham,-,3,367,18,72,457
Framingham,-,4,449,20,126,595
Framingham,-,5,563,26,166,755
Framingham,-,6,"1,126",30,282,"1,438"
Framingham,-,7,"1,138",29,310,"1,477"
Framingham,-,8,621,23,166,810
Framingham,-,9B,42,2,9,53
Framingham,-,10,564,12,136,712
Framingham,-,11,739,18,196,953
Framingham,-,12,590,23,161,774
Framingham,-,13,410,11,107,528
Framingham,-,14,540,28,151,719
Framingham,-,15,618,13,137,768
Framingham,-,16,921,26,282,"1,229"
TOTALS,,,"9,374",306,"2,460","12,140"
