City/Town,Ward,Pct,"William C. Galvin","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,948",13,622,"2,583"
Canton,-,1,"1,459",9,394,"1,862"
Canton,-,2,"1,844",17,503,"2,364"
Canton,-,3,"1,279",6,369,"1,654"
Canton,-,4,"1,561",12,510,"2,083"
Canton,-,5,"1,599",11,519,"2,129"
Canton,-,6,"1,534",13,419,"1,966"
Canton,-,7,"1,667",13,460,"2,140"
Stoughton,-,1,"1,352",19,418,"1,789"
Stoughton,-,2A,185,1,43,229
Stoughton,-,4A,130,0,51,181
Stoughton,-,5,"1,053",20,412,"1,485"
Stoughton,-,7,"1,349",18,369,"1,736"
Stoughton,-,8,973,19,313,"1,305"
TOTALS,,,"17,933",171,"5,402","23,506"
