City/Town,Ward,Pct,"Orlando Ramos","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Springfield,1,C1,57,1,4,62
Springfield,1,D,329,6,53,388
Springfield,2,A,539,17,103,659
Springfield,2,B,781,33,201,"1,015"
Springfield,2,C,555,19,108,682
Springfield,2,D,766,25,152,943
Springfield,2,E,672,25,189,886
Springfield,2,F,735,25,135,895
Springfield,2,G,779,26,215,"1,020"
Springfield,2,H,799,16,174,989
Springfield,5,C,651,27,178,856
Springfield,8,A,737,28,191,956
Springfield,8,B,756,30,129,915
Springfield,8,C,760,22,165,947
Springfield,8,D,542,13,100,655
Springfield,8,E,514,19,111,644
Springfield,8,F,757,34,165,956
Springfield,8,G1,19,0,10,29
Springfield,8,H,705,15,149,869
TOTALS,,,"11,453",381,"2,532","14,366"
