City/Town,Ward,Pct,"Marcus S. Vaughn","Kevin Kalkut","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Medfield,-,3,995,867,0,155,"2,017"
Medfield,-,4,932,876,2,154,"1,964"
Millis,-,1,846,833,1,114,"1,794"
Norfolk,-,1,573,561,0,43,"1,177"
Norfolk,-,2,989,"1,000",0,84,"2,073"
Norfolk,-,3,907,797,0,54,"1,758"
Norfolk,-,4,878,947,2,56,"1,883"
Plainville,-,1,"1,011",650,2,84,"1,747"
Plainville,-,2,"1,059",729,0,121,"1,909"
Plainville,-,3,"1,207",701,0,92,"2,000"
Walpole,-,5,905,663,1,117,"1,686"
Wrentham,-,1,"1,230",641,0,79,"1,950"
Wrentham,-,2,"1,200",706,4,70,"1,980"
Wrentham,-,3,"1,204",670,3,58,"1,935"
Wrentham,-,4,"1,308",668,0,70,"2,046"
TOTALS,,,"15,244","11,309",15,"1,351","27,919"
