City/Town,Ward,Pct,"Mark C. Montigny","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,"1,395",34,501,"1,930"
Acushnet,-,2,"1,331",34,553,"1,918"
Acushnet,-,2A,170,3,60,233
Acushnet,-,3,"1,592",23,575,"2,190"
Dartmouth,-,1,"1,661",23,751,"2,435"
Dartmouth,-,2,"1,230",8,430,"1,668"
Dartmouth,-,3,255,4,55,314
Dartmouth,-,4,"1,577",16,569,"2,162"
Dartmouth,-,5,"1,597",16,552,"2,165"
Dartmouth,-,6,"1,483",13,503,"1,999"
Dartmouth,-,7,"1,725",8,629,"2,362"
Dartmouth,-,8,"1,972",17,661,"2,650"
Dartmouth,-,9,"2,062",10,722,"2,794"
Fairhaven,-,1,"1,204",20,390,"1,614"
Fairhaven,-,2,"1,205",15,354,"1,574"
Fairhaven,-,3,"1,034",21,325,"1,380"
Fairhaven,-,4,"1,246",11,423,"1,680"
Fairhaven,-,5,"1,180",17,505,"1,702"
Fairhaven,-,6,"1,197",9,472,"1,678"
Mattapoisett,-,1,"1,784",38,645,"2,467"
Mattapoisett,-,2,"1,793",42,659,"2,494"
"New Bedford",1,A,902,28,253,"1,183"
"New Bedford",1,A1,91,1,31,123
"New Bedford",1,B,"1,026",34,332,"1,392"
"New Bedford",1,B1,79,6,19,104
"New Bedford",1,C,713,16,221,950
"New Bedford",1,C1,149,6,35,190
"New Bedford",1,D,"1,196",40,357,"1,593"
"New Bedford",1,E,"1,075",18,290,"1,383"
"New Bedford",1,F,"1,065",44,318,"1,427"
"New Bedford",2,A,234,11,70,315
"New Bedford",2,B,371,24,107,502
"New Bedford",2,C,453,14,126,593
"New Bedford",2,D,794,28,190,"1,012"
"New Bedford",2,E,933,30,271,"1,234"
"New Bedford",2,F,729,16,163,908
"New Bedford",3,A,478,18,88,584
"New Bedford",3,B,490,10,116,616
"New Bedford",3,C,383,20,98,501
"New Bedford",3,D,575,25,175,775
"New Bedford",3,E,867,23,212,"1,102"
"New Bedford",3,F,724,14,198,936
"New Bedford",3,F1,346,12,88,446
"New Bedford",4,A,267,5,40,312
"New Bedford",4,A1,281,10,48,339
"New Bedford",4,B,781,23,153,957
"New Bedford",4,C,777,26,173,976
"New Bedford",4,D,709,20,145,874
"New Bedford",4,E,676,21,164,861
"New Bedford",4,F,844,17,154,"1,015"
"New Bedford",5,A,902,23,200,"1,125"
"New Bedford",5,B,826,26,194,"1,046"
"New Bedford",5,C,799,26,209,"1,034"
"New Bedford",5,D,985,19,186,"1,190"
"New Bedford",5,E,"1,099",31,266,"1,396"
"New Bedford",5,F,"1,066",48,282,"1,396"
"New Bedford",6,A,920,33,260,"1,213"
"New Bedford",6,B,761,22,176,959
"New Bedford",6,C,436,12,125,573
"New Bedford",6,D,348,12,78,438
"New Bedford",6,E,428,14,113,555
"New Bedford",6,F,647,21,140,808
TOTALS,,,"55,918","1,229","17,198","74,345"
