City/Town,Ward,Pct,"Joan B. Lovely","Damian Mitchell Anketell","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Beverly,1,1,"1,313",600,0,114,"2,027"
Beverly,1,2,"1,520",648,0,147,"2,315"
Beverly,2,1,"1,499",485,3,138,"2,125"
Beverly,2,2,"1,428",430,0,112,"1,970"
Beverly,3,1,"1,005",331,0,82,"1,418"
Beverly,3,2,"1,227",537,1,105,"1,870"
Beverly,4,1,737,269,0,48,"1,054"
Beverly,4,2,"1,819",491,0,118,"2,428"
Beverly,5,1,"1,264",614,0,131,"2,009"
Beverly,5,2,"1,242",579,1,145,"1,967"
Beverly,6,1,"1,527",627,0,170,"2,324"
Beverly,6,2,"1,492",747,2,160,"2,401"
Danvers,-,1,"1,227",717,0,108,"2,052"
Danvers,-,2,"1,193",760,1,146,"2,100"
Danvers,-,3,"1,040",762,1,104,"1,907"
Danvers,-,4,"1,184",769,0,155,"2,108"
Danvers,-,5,"1,147",880,0,132,"2,159"
Danvers,-,6,"1,174",997,0,162,"2,333"
Danvers,-,7,"1,169",846,1,144,"2,160"
Danvers,-,8,875,726,2,113,"1,716"
Peabody,1,1,987,670,5,115,"1,777"
Peabody,1,2,932,754,1,126,"1,813"
Peabody,1,3,"1,029",813,0,152,"1,994"
Peabody,2,1,683,361,3,82,"1,129"
Peabody,2,2,690,392,0,69,"1,151"
Peabody,2,3,845,571,4,82,"1,502"
Peabody,3,1,564,312,4,62,942
Peabody,3,2,730,469,6,84,"1,289"
Peabody,3,3,838,520,4,75,"1,437"
Peabody,4,1,877,578,4,110,"1,569"
Peabody,4,2,615,456,4,69,"1,144"
Peabody,4,3,324,259,1,48,632
Peabody,4,3A,"1,104",290,1,124,"1,519"
Peabody,5,1,"1,027",770,5,137,"1,939"
Peabody,5,2,678,695,2,104,"1,479"
Peabody,5,3,828,732,4,84,"1,648"
Peabody,6,1,982,968,3,153,"2,106"
Peabody,6,2,843,924,2,120,"1,889"
Peabody,6,3,941,"1,035",7,156,"2,139"
Salem,1,1,"1,557",315,2,112,"1,986"
Salem,1,2,642,155,3,96,896
Salem,2,1,"1,544",262,0,101,"1,907"
Salem,2,2,"1,658",282,1,132,"2,073"
Salem,3,1,"1,129",307,0,112,"1,548"
Salem,3,2,"1,157",408,1,93,"1,659"
Salem,4,1,"1,072",418,0,74,"1,564"
Salem,4,2,"1,205",488,2,114,"1,809"
Salem,5,1,"1,426",255,2,124,"1,807"
Salem,5,2,"1,172",240,2,105,"1,519"
Salem,6,1,"1,253",313,0,105,"1,671"
Salem,6,2,"1,456",339,0,102,"1,897"
Salem,7,1,973,259,1,79,"1,312"
Salem,7,2,"1,266",388,0,102,"1,756"
TOTALS,,,"58,109","28,813",86,"5,937","92,945"
