City/Town,Ward,Pct,"Barry R. Finegold","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,499",0,596,"2,095"
Amesbury,-,2,"1,292",0,428,"1,720"
Amesbury,-,3,"1,321",0,481,"1,802"
Amesbury,-,4,"1,023",0,406,"1,429"
Amesbury,-,5,"1,330",0,565,"1,895"
Amesbury,-,6,"1,099",0,381,"1,480"
Andover,-,1,"1,147",11,292,"1,450"
Andover,-,2,"1,537",19,548,"2,104"
Andover,-,3,"1,743",26,551,"2,320"
Andover,-,4,891,18,351,"1,260"
Andover,-,4A,529,5,166,700
Andover,-,5,"1,547",22,584,"2,153"
Andover,-,6,"1,508",19,504,"2,031"
Andover,-,7,"1,595",20,574,"2,189"
Andover,-,8,"1,699",33,563,"2,295"
Andover,-,9,"1,430",28,517,"1,975"
Andover,-,10,"1,623",27,552,"2,202"
Haverhill,1,2A,227,1,96,324
Haverhill,1,3A,322,0,146,468
Haverhill,2,1,"1,044",6,443,"1,493"
Haverhill,2,2,"1,134",11,423,"1,568"
Haverhill,4,1,"1,315",13,556,"1,884"
Haverhill,4,2,"1,337",8,732,"2,077"
Haverhill,4,3,"1,234",12,580,"1,826"
Haverhill,5,1,683,4,250,937
Haverhill,5,2,"1,346",14,606,"1,966"
Haverhill,5,3,"1,223",7,629,"1,859"
Haverhill,5,3A,93,1,46,140
Haverhill,6,1,"1,125",13,492,"1,630"
Haverhill,6,2,786,9,342,"1,137"
Haverhill,6,3,"1,229",4,522,"1,755"
Haverhill,7,1,"1,162",9,469,"1,640"
Haverhill,7,2,852,11,347,"1,210"
Haverhill,7,3,"1,374",12,637,"2,023"
Haverhill,7,3A,18,0,8,26
Merrimac,-,1,"1,488",47,542,"2,077"
Merrimac,-,2,"1,578",37,658,"2,273"
"N. Andover",-,1,"1,528",15,533,"2,076"
"N. Andover",-,2,"1,569",26,567,"2,162"
"N. Andover",-,3,"1,469",12,529,"2,010"
"N. Andover",-,4,"1,860",16,708,"2,584"
"N. Andover",-,5,860,8,306,"1,174"
"N. Andover",-,6,"1,670",14,772,"2,456"
Tewksbury,-,1,"1,345",63,636,"2,044"
Tewksbury,-,2,"1,701",67,690,"2,458"
Tewksbury,-,3,"1,537",72,708,"2,317"
Tewksbury,-,4,"1,538",46,630,"2,214"
Tewksbury,-,5,"1,440",65,626,"2,131"
Tewksbury,-,5A,268,13,62,343
Tewksbury,-,6,"1,513",85,705,"2,303"
Tewksbury,-,7,"1,762",61,768,"2,591"
Tewksbury,-,8,"1,651",65,644,"2,360"
Wilmington,-,1,"1,684",19,734,"2,437"
Wilmington,-,2,"1,586",16,794,"2,396"
Wilmington,-,3,"1,546",29,739,"2,314"
Wilmington,-,4,"1,690",29,770,"2,489"
Wilmington,-,5,"1,559",11,695,"2,265"
Wilmington,-,6,"1,605",29,865,"2,499"
TOTALS,,,"73,764","1,208","30,064","105,036"
