City/Town,Ward,Pct,"Patricia D. Jehlen","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,7,1,"1,410",4,275,"1,689"
Cambridge,8,1,"1,259",3,249,"1,511"
Cambridge,10,1,"1,082",8,220,"1,310"
Cambridge,10,1A,727,4,147,878
Cambridge,10,2,"1,837",3,332,"2,172"
Cambridge,10,3,"1,407",15,300,"1,722"
Cambridge,11,1,668,2,106,776
Cambridge,11,1A,677,4,148,829
Cambridge,11,2,"1,041",2,276,"1,319"
Cambridge,11,3,"1,433",6,304,"1,743"
Cambridge,11,3A,143,0,33,176
Medford,1,1,"1,449",25,495,"1,969"
Medford,1,2,"1,526",30,454,"2,010"
Medford,2,1,"1,294",37,500,"1,831"
Medford,2,2,"1,722",45,700,"2,467"
Medford,3,1,"1,572",33,663,"2,268"
Medford,3,2,"1,713",41,671,"2,425"
Medford,4,1,776,8,144,928
Medford,4,2,"1,508",36,444,"1,988"
Medford,5,1,"1,425",36,316,"1,777"
Medford,5,2,"1,516",20,313,"1,849"
Medford,6,1,"1,749",28,404,"2,181"
Medford,6,2,"1,508",25,457,"1,990"
Medford,6,2A,103,3,47,153
Medford,7,1,943,22,225,"1,190"
Medford,7,2,"1,119",27,277,"1,423"
Medford,7,2A,44,1,5,50
Medford,8,1,"1,466",33,457,"1,956"
Medford,8,2,"1,288",30,434,"1,752"
Somerville,1,1,"1,030",25,213,"1,268"
Somerville,1,2,835,18,179,"1,032"
Somerville,1,3,"1,043",26,221,"1,290"
Somerville,1,4,609,13,98,720
Somerville,1,4A,313,7,58,378
Somerville,2,1,805,3,125,933
Somerville,2,1A,486,4,73,563
Somerville,2,2,"1,220",19,210,"1,449"
Somerville,2,3,"1,260",11,188,"1,459"
Somerville,2,4,"1,295",18,215,"1,528"
Somerville,3,1,"1,338",20,220,"1,578"
Somerville,3,2,"1,204",24,242,"1,470"
Somerville,3,3,"1,354",21,240,"1,615"
Somerville,3,4,"1,307",18,238,"1,563"
Somerville,4,1,932,26,266,"1,224"
Somerville,4,2,738,17,142,897
Somerville,4,2A,295,2,63,360
Somerville,4,3,"1,260",24,217,"1,501"
Somerville,4,4,822,12,167,"1,001"
Somerville,5,1,"1,329",29,225,"1,583"
Somerville,5,2,"1,348",23,246,"1,617"
Somerville,5,3,"1,344",17,238,"1,599"
Somerville,5,4,"1,495",24,213,"1,732"
Somerville,6,1,"1,549",22,226,"1,797"
Somerville,6,2,"1,591",26,255,"1,872"
Somerville,6,3,229,2,46,277
Somerville,6,3A,206,11,47,264
Somerville,6,4,"1,480",19,252,"1,751"
Somerville,7,1,"1,525",13,226,"1,764"
Somerville,7,2,"1,098",19,183,"1,300"
Somerville,7,3,974,24,218,"1,216"
Somerville,7,4,"1,117",25,221,"1,363"
Winchester,-,4,"1,107",18,648,"1,773"
Winchester,-,5,"1,061",24,655,"1,740"
Winchester,-,6,"1,105",22,631,"1,758"
Winchester,-,7,"1,123",26,613,"1,762"
TOTALS,,,"72,232","1,183","17,914","91,329"
