City/Town,Ward,Pct,"Michael O. Moore","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Auburn,-,1,"1,534",11,450,"1,995"
Auburn,-,2,"1,547",25,438,"2,010"
Auburn,-,3,"1,609",12,525,"2,146"
Auburn,-,4,"1,550",23,467,"2,040"
Auburn,-,5,"1,407",15,460,"1,882"
Grafton,-,1,"1,709",30,470,"2,209"
Grafton,-,2,"1,792",29,524,"2,345"
Grafton,-,3,"1,725",18,500,"2,243"
Grafton,-,4,"1,560",27,412,"1,999"
Grafton,-,5,"1,971",13,509,"2,493"
Millbury,-,1,"1,557",15,376,"1,948"
Millbury,-,2,"1,732",5,472,"2,209"
Millbury,-,3,"1,647",15,421,"2,083"
Millbury,-,4,"1,534",17,367,"1,918"
Shrewsbury,-,1,"1,731",17,589,"2,337"
Shrewsbury,-,2,"1,512",9,462,"1,983"
Shrewsbury,-,3,"1,210",10,376,"1,596"
Shrewsbury,-,4,"1,695",21,487,"2,203"
Shrewsbury,-,5,"1,471",15,395,"1,881"
Shrewsbury,-,6,"1,547",12,496,"2,055"
Shrewsbury,-,7,"1,728",17,534,"2,279"
Shrewsbury,-,8,"1,828",16,636,"2,480"
Shrewsbury,-,9,"1,157",4,327,"1,488"
Shrewsbury,-,10,"1,490",19,437,"1,946"
Westborough,-,1,"1,117",7,287,"1,411"
Westborough,-,2,"1,049",8,305,"1,362"
Westborough,-,3,"1,201",32,326,"1,559"
Westborough,-,4,"1,151",17,320,"1,488"
Westborough,-,5,"1,764",27,482,"2,273"
Westborough,-,6,"1,853",24,493,"2,370"
Worcester,4,1,427,21,84,532
Worcester,4,2A,237,9,61,307
Worcester,4,4,866,33,207,"1,106"
Worcester,4,5,922,33,268,"1,223"
Worcester,4,6,939,21,257,"1,217"
Worcester,5,1,579,27,122,728
Worcester,5,2,"1,070",38,231,"1,339"
Worcester,5,3,"1,290",52,384,"1,726"
Worcester,5,4,"1,169",47,277,"1,493"
Worcester,5,5,"1,128",51,300,"1,479"
Worcester,5,6,912,50,232,"1,194"
Worcester,6,1,382,17,72,471
Worcester,6,2,598,22,110,730
Worcester,6,4,124,4,21,149
Worcester,6,5,735,32,176,943
Worcester,6,6,"1,132",46,257,"1,435"
Worcester,7,5A,242,13,54,309
Worcester,8,5,556,26,107,689
TOTALS,,,"59,686","1,052","16,563","77,301"
