City/Town,Ward,Pct,"Paul W. Mark","David A. Rosa","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Adams,-,1,496,221,1,47,765
Adams,-,2,578,299,1,46,924
Adams,-,3,559,301,4,51,915
Adams,-,4,500,244,0,58,802
Adams,-,5,649,290,0,50,989
Alford,-,1,247,45,0,34,326
Ashfield,-,1,937,208,0,71,"1,216"
Becket,-,1,787,356,12,92,"1,247"
Blandford,-,1,335,434,1,50,820
Buckland,-,1,827,236,0,80,"1,143"
Charlemont,-,1,494,201,0,49,744
Cheshire,-,1,"1,068",738,0,148,"1,954"
Chester,-,1,341,366,0,44,751
Chesterfield,-,1,509,263,0,64,836
Clarksburg,-,1,577,345,1,57,980
Colrain,-,1,662,319,0,69,"1,050"
Conway,-,1,932,291,0,87,"1,310"
Cummington,-,1,415,141,0,31,587
Dalton,-,1,"1,252",463,11,134,"1,860"
Dalton,-,2,"1,246",418,2,158,"1,824"
Egremont,-,1,720,157,0,79,956
Florida,-,1,205,190,0,21,416
Goshen,-,1,412,214,0,45,671
Granville,-,1,398,543,0,54,995
"Great Barrington",-,A,822,136,1,94,"1,053"
"Great Barrington",-,B,760,189,0,94,"1,043"
"Great Barrington",-,C,584,92,0,58,734
"Great Barrington",-,D,838,171,2,120,"1,131"
Hancock,-,1,258,208,0,29,495
Hawley,-,1,122,55,0,19,196
Heath,-,1,290,160,0,22,472
Hinsdale,-,1,780,360,0,78,"1,218"
Huntington,-,1,617,560,0,62,"1,239"
Lanesborough,-,1,"1,184",526,1,151,"1,862"
Lee,-,1,"2,158",825,1,274,"3,258"
Lenox,-,1,"2,484",559,0,254,"3,297"
Middlefield,-,1,191,108,0,18,317
Monroe,-,1,31,32,0,3,66
Monterey,-,1,469,97,0,38,604
"Mount Washington",-,1,92,22,0,11,125
"New Ashford",-,1,99,59,0,6,164
"New Marlborough",-,1,657,256,6,83,"1,002"
"N. Adams",1,1,823,346,0,120,"1,289"
"N. Adams",2,2,797,277,0,76,"1,150"
"N. Adams",3,3,575,182,0,62,819
"N. Adams",4,4,854,341,0,115,"1,310"
"N. Adams",5,5,763,293,0,103,"1,159"
Otis,-,1,561,405,0,107,"1,073"
Peru,-,1,298,197,0,33,528
Pittsfield,1,A,767,268,0,77,"1,112"
Pittsfield,1,B,"1,092",340,0,118,"1,550"
Pittsfield,2,A,569,205,0,67,841
Pittsfield,2,B,"1,129",317,0,159,"1,605"
Pittsfield,3,A,"1,262",347,0,138,"1,747"
Pittsfield,3,B,"1,331",386,0,171,"1,888"
Pittsfield,4,A,"1,316",327,2,151,"1,796"
Pittsfield,4,B,"1,440",435,0,174,"2,049"
Pittsfield,5,A,"1,018",287,1,121,"1,427"
Pittsfield,5,B,"1,124",397,0,135,"1,656"
Pittsfield,6,A,"1,090",298,1,118,"1,507"
Pittsfield,6,B,749,237,1,98,"1,085"
Pittsfield,7,A,645,314,2,81,"1,042"
Pittsfield,7,B,"1,118",373,1,149,"1,641"
Plainfield,-,1,298,107,0,27,432
Richmond,-,1,776,186,1,56,"1,019"
Rowe,-,1,150,104,0,11,265
Sandisfield,-,1,288,183,0,36,507
Savoy,-,1,241,153,0,43,437
Sheffield,-,1,"1,357",504,2,176,"2,039"
Shelburne,-,1,917,246,2,71,"1,236"
Southwick,-,1,831,"1,234",2,183,"2,250"
Southwick,-,2,671,888,3,116,"1,678"
Southwick,-,3,823,976,2,153,"1,954"
Stockbridge,-,1,"1,016",205,0,98,"1,319"
Tolland,-,1,140,167,0,24,331
Tyringham,-,1,222,75,0,29,326
Washington,-,1,239,98,0,23,360
"W. Stockbridge",-,1,706,152,1,82,941
Westhampton,-,1,746,408,0,94,"1,248"
Whately,-,1,710,316,0,68,"1,094"
Williamsburg,-,1,"1,385",329,0,119,"1,833"
Williamstown,-,1,"1,203",208,1,100,"1,512"
Williamstown,-,2,355,35,0,49,439
Williamstown,-,3,"1,335",244,1,111,"1,691"
Windsor,-,1,356,170,0,35,561
Worthington,-,1,581,236,1,60,878
TOTALS,,,"62,249","25,494",68,"7,170","94,981"
