City/Town,Ward,Pct,"Jake Auchincloss","Sana A. Fadel","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Attleboro,1,A,"1,358",1,21,563,"1,943"
Attleboro,1,B,"1,298",1,15,524,"1,838"
Attleboro,2,A,"1,477",3,33,648,"2,161"
Attleboro,2,B,"1,393",8,22,549,"1,972"
Attleboro,3,A,"1,355",7,21,508,"1,891"
Attleboro,3,B,"1,442",4,17,598,"2,061"
Attleboro,4,A,"1,230",3,22,471,"1,726"
Attleboro,4,B,"1,735",2,48,698,"2,483"
Attleboro,5,A,"1,032",7,16,308,"1,363"
Attleboro,5,B,"1,493",0,25,460,"1,978"
Attleboro,6,A,"1,369",4,26,550,"1,949"
Attleboro,6,B,"1,539",8,25,540,"2,112"
Bellingham,-,1,"1,247",0,57,543,"1,847"
Bellingham,-,2,"1,423",0,59,638,"2,120"
Bellingham,-,3,"1,547",0,68,623,"2,238"
Bellingham,-,4,"1,291",0,60,547,"1,898"
Bellingham,-,5,"1,294",0,57,632,"1,983"
Berkley,-,1,"1,384",0,66,817,"2,267"
Berkley,-,2,"1,211",0,57,728,"1,996"
Blackstone,-,1,"1,073",0,7,494,"1,574"
Blackstone,-,2,"1,158",0,8,540,"1,706"
Blackstone,-,3,"1,221",0,26,627,"1,874"
Brookline,-,1,"1,212",9,21,226,"1,468"
Brookline,-,2,817,12,17,165,"1,011"
Brookline,-,3,"1,330",16,27,304,"1,677"
Brookline,-,4,"1,117",1,36,229,"1,383"
Brookline,-,5,711,7,10,151,879
Brookline,-,5A,681,5,12,146,844
Brookline,-,6,"1,465",12,19,287,"1,783"
Brookline,-,7,"1,266",10,26,274,"1,576"
Brookline,-,8,"1,355",23,28,251,"1,657"
Brookline,-,9,"1,423",9,31,272,"1,735"
Brookline,-,10,"1,437",11,33,246,"1,727"
Brookline,-,11,"1,469",20,30,308,"1,827"
Brookline,-,12,"1,551",23,34,284,"1,892"
Brookline,-,13,"1,292",11,25,262,"1,590"
Brookline,-,13A,241,5,6,35,287
Brookline,-,14,"1,242",2,32,320,"1,596"
Brookline,-,14A,320,4,3,91,418
Brookline,-,15,"1,517",7,40,364,"1,928"
Brookline,-,16,"1,420",15,26,347,"1,808"
Brookline,-,17,"1,221",5,25,249,"1,500"
Dighton,-,1,988,0,0,664,"1,652"
Dighton,-,2,"1,006",0,0,641,"1,647"
Dighton,-,3,995,0,0,581,"1,576"
Dover,-,1,"2,648",22,79,"1,045","3,794"
"Fall River",1,A,"1,031",0,12,618,"1,661"
"Fall River",1,B,712,0,31,384,"1,127"
"Fall River",1,C,804,0,7,428,"1,239"
"Fall River",2,A,587,0,5,297,889
"Fall River",2,B,545,0,6,265,816
"Fall River",2,C,641,0,2,338,981
"Fall River",3,A,778,0,1,370,"1,149"
"Fall River",3,B,741,0,7,344,"1,092"
"Fall River",3,C,946,0,8,437,"1,391"
"Fall River",4,A,573,0,7,219,799
"Fall River",4,B,517,0,2,193,712
"Fall River",4,C,613,0,11,248,872
"Fall River",5,A,473,0,5,188,666
"Fall River",5,B,431,0,4,141,576
"Fall River",5,C,542,0,9,234,785
"Fall River",6,A,821,0,8,517,"1,346"
"Fall River",6,B,756,0,6,348,"1,110"
"Fall River",6,C,740,0,0,365,"1,105"
"Fall River",7,A,864,0,9,425,"1,298"
"Fall River",7,B,601,0,7,276,884
"Fall River",7,C,737,0,4,297,"1,038"
"Fall River",8,A,693,0,8,336,"1,037"
"Fall River",8,B,"1,000",4,10,508,"1,522"
"Fall River",8,C,"1,071",0,7,552,"1,630"
"Fall River",9,A,"1,268",0,7,739,"2,014"
"Fall River",9,B,961,1,10,508,"1,480"
"Fall River",9,C,"1,090",2,9,486,"1,587"
Foxborough,-,1,"1,328",0,20,571,"1,919"
Foxborough,-,2,"1,759",3,23,780,"2,565"
Foxborough,-,3,"1,418",7,28,653,"2,106"
Foxborough,-,4,"1,603",2,6,755,"2,366"
Foxborough,-,5,"1,551",12,21,672,"2,256"
Franklin,-,1,"1,501",0,63,635,"2,199"
Franklin,-,2,"1,234",0,45,583,"1,862"
Franklin,-,3,"1,557",0,74,616,"2,247"
Franklin,-,4,"1,611",0,54,756,"2,421"
Franklin,-,5,"1,617",0,58,608,"2,283"
Franklin,-,6,"1,596",0,41,614,"2,251"
Franklin,-,7,"1,771",0,58,661,"2,490"
Franklin,-,8,"1,617",0,71,809,"2,497"
Franklin,-,9,"1,286",0,46,488,"1,820"
Freetown,-,1,"1,172",0,27,635,"1,834"
Freetown,-,2,"1,185",0,24,685,"1,894"
Freetown,-,3,"1,133",0,12,714,"1,859"
