City/Town,Ward,Pct,"Katherine M. Clark","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,811,21,156,988
Arlington,-,2,"1,134",10,239,"1,383"
Arlington,-,3,"1,117",8,187,"1,312"
Arlington,-,4,"1,018",12,211,"1,241"
Arlington,-,5,"1,177",12,215,"1,404"
Arlington,-,6,"1,047",1,211,"1,259"
Arlington,-,7,"1,070",6,220,"1,296"
Arlington,-,8,"1,162",8,259,"1,429"
Arlington,-,9,889,10,220,"1,119"
Arlington,-,10,"1,216",9,208,"1,433"
Arlington,-,11,"1,196",13,280,"1,489"
Arlington,-,12,"1,282",10,240,"1,532"
Arlington,-,13,"1,091",16,324,"1,431"
Arlington,-,14,"1,031",7,195,"1,233"
Arlington,-,15,"1,032",11,234,"1,277"
Arlington,-,16,"1,103",10,241,"1,354"
Arlington,-,17,978,4,223,"1,205"
Arlington,-,18,"1,088",11,272,"1,371"
Arlington,-,19,"1,134",5,217,"1,356"
Arlington,-,20,"1,063",9,225,"1,297"
Arlington,-,21,"1,150",13,192,"1,355"
Bedford,-,2A,295,4,137,436
Belmont,-,1,"1,401",10,382,"1,793"
Belmont,-,2,"1,566",17,557,"2,140"
Belmont,-,3,"1,399",17,362,"1,778"
Belmont,-,4,"1,214",13,323,"1,550"
Belmont,-,5,"1,412",21,357,"1,790"
Belmont,-,6,"1,707",12,420,"2,139"
Belmont,-,7,"1,449",17,349,"1,815"
Belmont,-,8,"1,196",11,442,"1,649"
Cambridge,3,3A,483,5,68,556
Cambridge,4,2,"1,296",4,203,"1,503"
Cambridge,6,1A,361,3,47,411
Cambridge,6,2,921,8,144,"1,073"
Cambridge,6,3,"1,647",15,275,"1,937"
Cambridge,7,1,"1,473",7,209,"1,689"
Cambridge,7,2,"1,049",12,176,"1,237"
Cambridge,7,3,435,13,83,531
Cambridge,8,1,"1,330",9,172,"1,511"
Cambridge,8,2,"1,357",11,197,"1,565"
Cambridge,8,3,471,10,66,547
Cambridge,9,1,"2,147",16,307,"2,470"
Cambridge,9,2,"1,722",13,268,"2,003"
Cambridge,9,3,"1,595",14,301,"1,910"
Cambridge,10,1A,731,10,137,878
Cambridge,10,2,"1,918",10,244,"2,172"
Cambridge,11,3,"1,469",9,265,"1,743"
Framingham,-,1,330,12,94,436
Framingham,-,2,359,13,64,436
Framingham,-,3,360,20,77,457
Framingham,-,4,449,16,130,595
Framingham,-,5,564,26,165,755
Framingham,-,6,"1,100",36,302,"1,438"
Framingham,-,7,"1,173",28,276,"1,477"
Framingham,-,8,626,27,157,810
Framingham,-,9A,802,35,224,"1,061"
Framingham,-,9B,39,4,10,53
Framingham,-,10,564,13,135,712
Framingham,-,11,728,21,204,953
Framingham,-,12,624,23,127,774
Framingham,-,13,418,11,99,528
Framingham,-,14,550,23,146,719
Framingham,-,15,602,14,152,768
Framingham,-,16,929,31,269,"1,229"
Framingham,-,17,"1,103",29,266,"1,398"
