City/Town,Ward,Pct,"Stephen F. Lynch","Robert G. Burke","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Abington,-,1,"1,179",739,1,82,"2,001"
Abington,-,2,996,712,1,65,"1,774"
Abington,-,3,"1,043",791,2,73,"1,909"
Abington,-,4,"1,154",776,1,71,"2,002"
Abington,-,5,"1,195",723,1,70,"1,989"
Avon,-,1,"1,608",850,1,124,"2,583"
Boston,1,15,0,0,0,0,0
Boston,3,1,935,318,3,94,"1,350"
Boston,3,2,950,343,7,101,"1,401"
Boston,3,3,624,206,4,35,869
Boston,3,4,697,220,1,59,977
Boston,3,5,975,225,3,87,"1,290"
Boston,3,6,664,185,2,53,904
Boston,3,9,662,133,3,52,850
Boston,3,10,"1,109",284,7,69,"1,469"
Boston,3,11,791,254,2,69,"1,116"
Boston,3,12,923,227,4,126,"1,280"
Boston,3,13,606,253,2,59,920
Boston,3,13A,0,0,0,0,0
Boston,3,17,719,146,4,49,918
Boston,5,3,"1,117",305,9,93,"1,524"
Boston,5,4,696,107,2,40,845
Boston,5,5,734,226,6,71,"1,037"
Boston,5,6,860,270,3,85,"1,218"
Boston,5,7,"1,149",309,1,93,"1,552"
Boston,5,8,983,277,4,71,"1,335"
Boston,5,11,467,109,0,25,601
Boston,6,1,"1,129",286,4,78,"1,497"
Boston,6,2,674,241,2,68,985
Boston,6,3,822,317,2,55,"1,196"
Boston,6,4,651,244,0,55,950
Boston,6,5,847,318,1,66,"1,232"
Boston,6,6,858,394,1,53,"1,306"
Boston,6,7,757,390,4,69,"1,220"
Boston,6,8,950,375,0,101,"1,426"
Boston,6,9,901,384,1,73,"1,359"
Boston,6,10,698,306,1,56,"1,061"
Boston,6,11,834,273,2,71,"1,180"
Boston,6,12,"1,302",684,2,111,"2,099"
Boston,7,1,730,286,3,64,"1,083"
Boston,7,2,841,348,2,69,"1,260"
Boston,7,3,974,367,4,54,"1,399"
Boston,7,4,685,298,2,41,"1,026"
Boston,7,5,836,280,3,66,"1,185"
Boston,7,6,678,209,6,68,961
Boston,7,7,444,103,1,41,589
Boston,7,8,734,187,2,47,970
Boston,7,9,562,144,2,45,753
Boston,7,10,613,67,2,38,720
Boston,8,6A,0,0,0,0,0
Boston,10,9A,0,0,0,0,0
Boston,11,9,696,38,10,95,839
Boston,11,10,799,51,8,96,954
Boston,13,3,662,106,2,63,833
Boston,13,7,666,196,5,68,935
Boston,13,8,592,139,3,56,790
Boston,13,9,697,131,4,58,890
Boston,13,10,"1,006",234,6,80,"1,326"
Boston,16,2,497,152,3,43,695
Boston,16,5,751,188,2,58,999
Boston,16,7,725,193,3,55,976
Boston,16,8,"1,103",267,8,110,"1,488"
Boston,16,9,860,295,2,75,"1,232"
Boston,16,10,696,234,2,53,985
Boston,16,11,499,114,0,35,648
Boston,16,12,749,225,3,67,"1,044"
Boston,17,13,738,113,4,66,921
Boston,19,1,875,52,13,90,"1,030"
Boston,19,2,"1,003",175,9,114,"1,301"
Boston,19,3,545,48,8,49,650
Boston,19,4,"1,230",54,10,112,"1,406"
Boston,19,5,844,70,5,83,"1,002"
Boston,19,6,"1,234",53,14,121,"1,422"
Boston,19,8,758,57,9,89,913
Boston,19,9,583,50,5,61,699
Boston,20,1,985,162,6,113,"1,266"
Boston,20,2,996,162,13,84,"1,255"
Boston,20,4,868,73,6,94,"1,041"
Boston,20,5,936,310,7,107,"1,360"
Boston,20,6,"1,028",262,4,116,"1,410"
Boston,20,7,666,134,4,55,859
Boston,20,8,761,142,6,62,971
Boston,20,9,853,165,1,72,"1,091"
Boston,20,10,"1,101",367,3,97,"1,568"
Boston,20,11,561,118,6,48,733
Boston,20,12,658,178,5,86,927
Boston,20,13,611,174,2,50,837
Boston,20,14,570,194,3,47,814
Boston,20,15,955,364,2,80,"1,401"
Boston,20,16,"1,061",429,3,104,"1,597"
Boston,20,17,"1,129",405,2,108,"1,644"
Boston,20,18,622,165,4,52,843
Boston,20,19,633,182,1,61,877
Boston,20,20,"1,056",278,2,81,"1,417"
Boston,20,21,82,37,1,11,131
Braintree,-,1A,"1,129",643,2,82,"1,856"
Braintree,-,1B,934,639,37,52,"1,662"
Braintree,-,2A,"1,141",571,2,77,"1,791"
Braintree,-,2B,"1,046",593,3,70,"1,712"
Braintree,-,3A,943,455,1,79,"1,478"
Braintree,-,3B,"1,001",516,30,48,"1,595"
Braintree,-,4A,"1,000",521,5,73,"1,599"
Braintree,-,4B,958,456,2,75,"1,491"
Braintree,-,5A,"1,016",598,1,73,"1,688"
Braintree,-,5B,"1,103",588,5,98,"1,794"
Braintree,-,6A,"1,226",671,2,114,"2,013"
Braintree,-,6B,"1,213",598,4,89,"1,904"
Brockton,1,A,834,147,0,57,"1,038"
Brockton,1,B,"1,113",290,0,92,"1,495"
Brockton,1,C,974,280,1,63,"1,318"
Brockton,1,D,"1,289",498,0,100,"1,887"
Brockton,2,A,615,97,0,66,778
Brockton,2,B,760,130,0,76,966
Brockton,2,C,517,91,1,73,682
Brockton,2,D,858,205,0,69,"1,132"
Brockton,3,A,886,241,0,100,"1,227"
Brockton,3,B,696,155,0,85,936
Brockton,3,C,"1,209",407,1,71,"1,688"
Brockton,3,D,"1,130",452,0,83,"1,665"
